               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10155,            0.034961,            0.067764,           0.0025867,             0.63519,            0.029842,           0.0068735,            0.043557,            0.020577,            0.037459,              0.0784,              0.0024,              0.0024
                   1,            0.069873,            0.035206,            0.061144,             0.18222,             0.12234,            0.084524,            0.034749,            0.029011,            0.016669,            0.036884,            0.055851,           0.0048515,           0.0048515
                   2,            0.061389,            0.030541,            0.058323,            0.033462,             0.12404,             0.04448,            0.017813,            0.036521,            0.010547,             0.03658,            0.033253,           0.0072535,           0.0072535
                   3,            0.060838,            0.028662,            0.055619,            0.077673,             0.30359,              0.1113,            0.053021,            0.032115,            0.010066,            0.036436,            0.010606,            0.009606,            0.009606
                   4,            0.056604,            0.027889,            0.052336,            0.049552,             0.17837,            0.083911,             0.04695,            0.037072,           0.0095569,             0.03518,            0.009604,            0.009604,            0.009604
                   5,            0.051372,            0.027498,            0.049162,             0.14045,             0.37425,             0.15438,             0.07163,            0.027078,           0.0096871,            0.034049,            0.009604,            0.009604,            0.009604
                   6,            0.053778,            0.026987,            0.043189,            0.086745,             0.23788,              0.1453,            0.072242,            0.025562,            0.009245,            0.032761,            0.009505,            0.009505,            0.009505
                   7,            0.046333,            0.024851,            0.046878,             0.76339,            0.086769,             0.14841,            0.074015,            0.024437,            0.010675,            0.036682,            0.009406,            0.009406,            0.009406
                   8,            0.049534,            0.025154,            0.045756,            0.083062,              0.2504,             0.12988,            0.070573,            0.023125,            0.012209,            0.033425,            0.009307,            0.009307,            0.009307
                   9,            0.048413,            0.027321,            0.043237,             0.11611,             0.32231,             0.17246,            0.094127,            0.024375,            0.011037,             0.03312,            0.009208,            0.009208,            0.009208
                  10,            0.047497,            0.026308,            0.041964,              0.2356,             0.41393,             0.22167,              0.1174,            0.022378,           0.0095978,            0.029743,            0.009109,            0.009109,            0.009109
                  11,            0.044876,            0.024532,            0.039925,             0.26466,             0.28762,             0.24318,             0.13193,            0.022918,           0.0093615,            0.029514,             0.00901,             0.00901,             0.00901
                  12,            0.045152,            0.024703,            0.039795,             0.26422,             0.31299,             0.24182,             0.13101,            0.021568,           0.0095361,             0.02953,            0.008911,            0.008911,            0.008911
